ood,probe,layer,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
nq,SEPs_ridge,4,500,0.328000009059906,0.5028310104529616,0.6834726607860234,0.328000009059906,0.3400000035762787,0.3413333296775818,,
nq,SEPs_logreg,4,500,0.328000009059906,0.5477279326364692,0.6535984142185812,0.36000001430511475,0.37599998712539673,0.3440000116825104,0.4369655849509497,0.42760854552927097
nq,DCP_mlp,4,500,0.328000009059906,0.5439895470383275,0.6655711835394629,0.328000009059906,0.3479999899864197,0.3440000116825104,0.6389213800430298,0.6438670705799014
nq,SEPs_ridge,8,500,0.328000009059906,0.5232832462253194,0.652956479658096,0.36000001430511475,0.3440000116825104,0.3333333432674408,,
nq,SEPs_logreg,8,500,0.328000009059906,0.5998112659698025,0.6068590854087358,0.42399999499320984,0.3959999978542328,0.34933334589004517,0.5112822693946671,0.5136742284472319
nq,DCP_mlp,8,500,0.328000009059906,0.5089104239256679,0.6782623787908801,0.328000009059906,0.31200000643730164,0.3253333270549774,0.6719998717308044,0.6719999313354492
nq,SEPs_ridge,12,500,0.328000009059906,0.5801938153310104,0.6248687914561228,0.3919999897480011,0.37599998712539673,0.36533331871032715,,
nq,SEPs_logreg,12,500,0.328000009059906,0.5411403890824622,0.6463115259142365,0.35199999809265137,0.35600000619888306,0.3440000116825104,0.46378299665949935,0.4561481449540712
nq,DCP_mlp,12,500,0.328000009059906,0.5607396922183507,0.6353557604915472,0.37599998712539673,0.35600000619888306,0.35466668009757996,0.5688733458518982,0.5753150165751577
nq,SEPs_ridge,16,500,0.328000009059906,0.618956881533101,0.6007124396668109,0.37599998712539673,0.41200000047683716,0.3786666691303253,,
nq,SEPs_logreg,16,500,0.328000009059906,0.6327852787456446,0.6012389895580992,0.4320000112056732,0.40400001406669617,0.3840000033378601,0.33511061346123433,0.3159204085542824
nq,DCP_mlp,16,500,0.328000009059906,0.6369954994192799,0.5904055323362944,0.42399999499320984,0.4359999895095825,0.3840000033378601,0.33241721987724304,0.3148118155151606
nq,SEPs_ridge,20,500,0.328000009059906,0.5671820557491289,0.6437583991817711,0.35199999809265137,0.3720000088214874,0.35466668009757996,,
nq,SEPs_logreg,20,500,0.328000009059906,0.6614220383275261,0.5767758627295538,0.4880000054836273,0.4320000112056732,0.3893333375453949,0.35584542729416396,0.34722143630082103
nq,DCP_mlp,20,500,0.328000009059906,0.6672927555168409,0.5688106754624831,0.5120000243186951,0.4359999895095825,0.3866666555404663,0.37439295649528503,0.36897170085273684
nq,SEPs_ridge,24,500,0.328000009059906,0.5772720673635308,0.6404697363450812,0.3440000116825104,0.37599998712539673,0.37066665291786194,,
nq,SEPs_logreg,24,500,0.328000009059906,0.6426938153310106,0.6057385385735323,0.40799999237060547,0.4359999895095825,0.3946666717529297,0.37846442118381685,0.3628022071423834
nq,DCP_mlp,24,500,0.328000009059906,0.6296185394889663,0.5995950709972292,0.42399999499320984,0.40400001406669617,0.3786666691303253,0.40928852558135986,0.4031898690313101
nq,SEPs_ridge,27,500,0.328000009059906,0.6062173344947734,0.6027926279309568,0.4399999976158142,0.3880000114440918,0.36800000071525574,,
nq,SEPs_logreg,27,500,0.328000009059906,0.6344004065040649,0.599037180537638,0.42399999499320984,0.41999998688697815,0.3893333375453949,0.3684539363382853,0.3473101693516352
nq,DCP_mlp,27,500,0.328000009059906,0.6432563879210221,0.5993827037277579,0.4399999976158142,0.41999998688697815,0.3893333375453949,0.38801953196525574,0.37634611975029114
nq,SEPs_ridge,28,500,0.328000009059906,0.6034952090592334,0.6192219939850632,0.37599998712539673,0.3840000033378601,0.37599998712539673,,
nq,SEPs_logreg,28,500,0.328000009059906,0.6187572590011614,0.6096735009149407,0.4320000112056732,0.3919999897480011,0.3840000033378601,0.39536491136618274,0.377417211211011
nq,DCP_mlp,28,500,0.328000009059906,0.6056003193960511,0.6122898158685717,0.40799999237060547,0.4000000059604645,0.37066665291786194,0.4263938367366791,0.41789874292351303
