method,pairs,strict_correct_rate,semantic_correct_rate,nli_only_correct_rate,answer_changed_vs_sample0_rate,delta_strict_correct_vs_sample0,delta_semantic_correct_vs_sample0,token_mean_entropy_mean,token_mean_entropy_std,token_max_entropy_mean,token_count_mean,selected_cluster_size_mean
best_of_n_logprob,93,0.4946236559139785,0.5483870967741935,0.053763440860215055,0.34408602150537637,0.07526881720430108,0.0967741935483871,0.1919324683504421,0.13699999634744384,1.6871501224876573,20.978494623655912,6.225806451612903
cluster_then_low_entropy,93,0.4731182795698925,0.5376344086021505,0.06451612903225806,0.3655913978494624,0.053763440860215055,0.08602150537634409,0.18458721521330376,0.13392723369470125,1.6385512779697136,21.612903225806452,6.376344086021505
low_token_mean_entropy,93,0.45161290322580644,0.5053763440860215,0.053763440860215055,0.3870967741935484,0.03225806451612903,0.053763440860215055,0.17182296176537,0.11651851321005507,1.5210248044321453,20.516129032258064,6.075268817204301
random_of_n,93,0.41935483870967744,0.4731182795698925,0.053763440860215055,0.3978494623655914,0.0,0.021505376344086023,0.22896120258138491,0.198432043866755,1.926861111024615,23.129032258064516,5.967741935483871
semantic_cluster_majority,93,0.4731182795698925,0.5376344086021505,0.06451612903225806,0.3655913978494624,0.053763440860215055,0.08602150537634409,0.1934493924308311,0.14114309620281348,1.6701242313169504,21.763440860215052,6.376344086021505
single_sample_baseline,93,0.41935483870967744,0.45161290322580644,0.03225806451612903,0.0,0.0,0.0,0.23516977291462685,0.20156929232608745,1.929113271886543,22.225806451612904,5.946236559139785
