strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
probe_cascade,DCP_mlp,0.9902724862098693,9.44814814814815,0.739,0.6,0.6
probe_cascade,DCP_mlp,0.9927166205644607,9.588950617283954,0.74,0.61,0.61
probe_cascade,DCP_mlp,0.9952805197238922,9.729753086419754,0.74,0.62,0.62
probe_cascade,DCP_mlp,0.9977693331241607,9.870555555555557,0.746,0.63,0.63
probe_cascade,DCP_mlp,0.9985087656974792,10.01135802469136,0.75,0.64,0.64
probe_cascade,DCP_mlp,0.9990721970796584,10.152160493827163,0.749,0.65,0.65
probe_cascade,DCP_mlp,0.999462114572525,10.292962962962966,0.749,0.66,0.66
probe_cascade,DCP_mlp,0.9997533392906188,10.433765432098768,0.749,0.67,0.67
probe_cascade,DCP_mlp,0.9998351621627807,10.57456790123457,0.752,0.68,0.68
probe_cascade,DCP_mlp,0.9998935747146607,10.715370370370373,0.753,0.69,0.6900000000000001
probe_cascade,DCP_mlp,0.9999215364456177,10.856172839506176,0.754,0.7,0.7000000000000001
probe_cascade,DCP_mlp,0.9999475550651551,10.996975308641979,0.756,0.71,0.71
probe_cascade,DCP_mlp,0.9999597120285034,11.137777777777782,0.757,0.72,0.72
probe_cascade,DCP_mlp,0.999984415769577,11.278580246913583,0.759,0.73,0.73
probe_cascade,DCP_mlp,0.999988317489624,11.447543209876546,0.759,0.742,0.74
probe_cascade,DCP_mlp,0.9999918639659882,11.56018518518519,0.762,0.75,0.75
probe_cascade,DCP_mlp,0.999995551109314,11.70098765432099,0.762,0.76,0.76
probe_cascade,DCP_mlp,0.9999969279766082,11.841790123456795,0.761,0.77,0.77
probe_cascade,DCP_mlp,0.9999972581863404,12.010753086419756,0.761,0.782,0.78
probe_cascade,DCP_mlp,0.999998381137848,12.123395061728399,0.763,0.79,0.79
probe_cascade,DCP_mlp,0.999998950958252,12.2641975308642,0.763,0.8,0.8
probe_cascade,DCP_mlp,0.9999994266033173,12.405000000000003,0.763,0.81,0.81
probe_cascade,DCP_mlp,0.9999997615814208,12.573962962962968,0.765,0.822,0.8200000000000001
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.8300000000000001
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.84
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.85
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.86
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.87
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.88
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.89
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.9
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.91
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.92
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.93
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.9400000000000001
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.9500000000000001
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.96
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.97
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.98
probe_cascade,DCP_mlp,1.0,15.080246913580252,0.764,1.0,0.99
probe_cascade,DCP_mlp,2.0,15.080246913580252,0.764,1.0,1.0
probe_cascade,SEPs_logreg,-0.9999992672455884,1.0,0.566,0.0,0.0
probe_cascade,SEPs_logreg,1.4398736166119365e-05,1.1408024691358025,0.568,0.01,0.01
probe_cascade,SEPs_logreg,4.0449291382557146e-05,1.281604938271605,0.576,0.02,0.02
probe_cascade,SEPs_logreg,7.308939262154184e-05,1.4224074074074073,0.58,0.03,0.03
probe_cascade,SEPs_logreg,0.000135981325431344,1.5632098765432096,0.583,0.04,0.04
probe_cascade,SEPs_logreg,0.00021526759754782505,1.7040123456790124,0.586,0.05,0.05
probe_cascade,SEPs_logreg,0.00034179041112434997,1.8448148148148147,0.586,0.06,0.06
probe_cascade,SEPs_logreg,0.0006232799079946526,1.985617283950617,0.592,0.07,0.07
probe_cascade,SEPs_logreg,0.0011065990477603083,2.1264197530864193,0.594,0.08,0.08
probe_cascade,SEPs_logreg,0.00146359380238508,2.2672222222222222,0.6,0.09,0.09
probe_cascade,SEPs_logreg,0.0018840472634475398,2.4080246913580243,0.604,0.1,0.1
probe_cascade,SEPs_logreg,0.002480284014258864,2.5488271604938273,0.607,0.11,0.11
probe_cascade,SEPs_logreg,0.002770313579402828,2.6896296296296294,0.609,0.12,0.12
probe_cascade,SEPs_logreg,0.0030962753574555074,2.830432098765432,0.609,0.13,0.13
probe_cascade,SEPs_logreg,0.005410198781572132,2.971234567901235,0.615,0.14,0.14
probe_cascade,SEPs_logreg,0.006348991277082499,3.1120370370370374,0.617,0.15,0.15
probe_cascade,SEPs_logreg,0.007983815547262333,3.25283950617284,0.621,0.16,0.16
