strategy,threshold,cost,accuracy,label,dataset
always_Llama-3B,,0.42,0.476,Always Llama-3B (K=1),nq
always_Qwen-7B,,1.0,0.328,Always Qwen-7B (K=1),nq
always_Qwen-72B,,9.57,0.506,Always Qwen-72B (K=1),nq
always_72B_K8,,76.6,0.556,Always Qwen-72B K=8,nq
always_teacher,,50.0,1.0,Always Teacher API,nq
dcp_cascade,0.05,10.441439999999998,0.47819999999999996,DCP cascade (th=0.05),nq
dcp_cascade,0.06918367346938775,11.20422,0.4784,DCP cascade (th=0.07),nq
dcp_cascade,0.08836734693877552,12.248259999999998,0.479,DCP cascade (th=0.09),nq
dcp_cascade,0.10755102040816326,12.633219999999998,0.47909999999999997,DCP cascade (th=0.11),nq
dcp_cascade,0.126734693877551,13.194519999999999,0.47919999999999996,DCP cascade (th=0.13),nq
dcp_cascade,0.14591836734693875,14.370619999999999,0.4774999999999999,DCP cascade (th=0.15),nq
dcp_cascade,0.1651020408163265,15.067979999999999,0.48179999999999995,DCP cascade (th=0.17),nq
dcp_cascade,0.18428571428571427,15.437799999999998,0.48379999999999995,DCP cascade (th=0.18),nq
dcp_cascade,0.20346938775510204,15.788479999999998,0.4819,DCP cascade (th=0.20),nq
dcp_cascade,0.2226530612244898,16.11602,0.482,DCP cascade (th=0.22),nq
dcp_cascade,0.2418367346938775,16.33064,0.484,DCP cascade (th=0.24),nq
dcp_cascade,0.26102040816326527,16.487839999999995,0.48410000000000003,DCP cascade (th=0.26),nq
dcp_cascade,0.28020408163265303,16.528119999999994,0.48410000000000003,DCP cascade (th=0.28),nq
dcp_cascade,0.2993877551020408,16.878799999999995,0.48429999999999995,DCP cascade (th=0.30),nq
dcp_cascade,0.3185714285714285,17.574159999999996,0.4845,DCP cascade (th=0.32),nq
dcp_cascade,0.33775510204081627,17.727359999999997,0.48460000000000003,DCP cascade (th=0.34),nq
dcp_cascade,0.35693877551020403,17.727359999999997,0.48460000000000003,DCP cascade (th=0.36),nq
dcp_cascade,0.3761224489795918,17.748499999999996,0.48660000000000003,DCP cascade (th=0.38),nq
dcp_cascade,0.39530612244897956,18.0569,0.48869999999999997,DCP cascade (th=0.40),nq
dcp_cascade,0.41448979591836727,18.229239999999997,0.49069999999999997,DCP cascade (th=0.41),nq
dcp_cascade,0.43367346938775503,18.75426,0.49479999999999996,DCP cascade (th=0.43),nq
dcp_cascade,0.4528571428571428,19.43048,0.49889999999999995,DCP cascade (th=0.45),nq
dcp_cascade,0.47204081632653055,19.453619999999997,0.49689999999999995,DCP cascade (th=0.47),nq
dcp_cascade,0.4912244897959183,19.9575,0.4952,DCP cascade (th=0.49),nq
dcp_cascade,0.5104081632653061,20.959259999999993,0.4935,DCP cascade (th=0.51),nq
dcp_cascade,0.5295918367346938,21.309939999999994,0.4957,DCP cascade (th=0.53),nq
dcp_cascade,0.5487755102040816,21.809819999999995,0.49789999999999995,DCP cascade (th=0.55),nq
dcp_cascade,0.5679591836734693,22.288559999999997,0.49789999999999995,DCP cascade (th=0.57),nq
dcp_cascade,0.5871428571428571,22.769299999999994,0.49789999999999995,DCP cascade (th=0.59),nq
dcp_cascade,0.6063265306122448,23.29032,0.4961999999999999,DCP cascade (th=0.61),nq
dcp_cascade,0.6255102040816326,23.7902,0.49639999999999995,DCP cascade (th=0.63),nq
dcp_cascade,0.6446938775510204,24.31122,0.4946,DCP cascade (th=0.64),nq
dcp_cascade,0.6638775510204081,24.659899999999993,0.4946999999999999,DCP cascade (th=0.66),nq
dcp_cascade,0.6830612244897959,25.027719999999995,0.4966999999999999,DCP cascade (th=0.68),nq
dcp_cascade,0.7022448979591837,25.052859999999995,0.4926999999999999,DCP cascade (th=0.70),nq
dcp_cascade,0.7214285714285714,25.552739999999996,0.4926999999999999,DCP cascade (th=0.72),nq
dcp_cascade,0.7406122448979592,26.054619999999996,0.48879999999999996,DCP cascade (th=0.74),nq
dcp_cascade,0.759795918367347,26.056619999999995,0.48879999999999996,DCP cascade (th=0.76),nq
dcp_cascade,0.7789795918367346,26.062619999999995,0.48679999999999995,DCP cascade (th=0.78),nq
dcp_cascade,0.7981632653061224,26.064619999999994,0.48679999999999995,DCP cascade (th=0.80),nq
dcp_cascade,0.8173469387755101,27.665959999999995,0.4891999999999999,DCP cascade (th=0.82),nq
dcp_cascade,0.8365306122448979,27.863439999999994,0.48729999999999996,DCP cascade (th=0.84),nq
dcp_cascade,0.8557142857142856,28.73714,0.48769999999999997,DCP cascade (th=0.86),nq
dcp_cascade,0.8748979591836734,29.968659999999996,0.492,DCP cascade (th=0.87),nq
dcp_cascade,0.8940816326530612,30.336479999999995,0.4941,DCP cascade (th=0.89),nq
dcp_cascade,0.9132653061224489,31.712059999999997,0.49470000000000003,DCP cascade (th=0.91),nq
dcp_cascade,0.9324489795918367,32.432559999999995,0.495,DCP cascade (th=0.93),nq
dcp_cascade,0.9516326530612245,34.0894,0.49529999999999996,DCP cascade (th=0.95),nq
dcp_cascade,0.9708163265306122,35.78251999999999,0.49589999999999995,DCP cascade (th=0.97),nq
dcp_cascade,0.99,38.92663999999999,0.49920000000000003,DCP cascade (th=0.99),nq
random_cascade,0.0,87.58999999999999,0.5307,Random cascade (p=0.00),nq
random_cascade,0.05,75.65247600000001,0.514935,Random cascade (p=0.05),nq
random_cascade,0.1,64.62966700000001,0.506025,Random cascade (p=0.10),nq
random_cascade,0.15000000000000002,55.266878,0.488075,Random cascade (p=0.15),nq
random_cascade,0.2,46.739114,0.482475,Random cascade (p=0.20),nq
random_cascade,0.25,39.374286999999995,0.4787,Random cascade (p=0.25),nq
random_cascade,0.30000000000000004,32.75792,0.46968,Random cascade (p=0.30),nq
random_cascade,0.35000000000000003,27.061448999999993,0.4647499999999999,Random cascade (p=0.35),nq
random_cascade,0.4,21.736549999999998,0.4613300000000001,Random cascade (p=0.40),nq
random_cascade,0.45,16.771324999999997,0.45011999999999996,Random cascade (p=0.45),nq
random_cascade,0.5,12.842388,0.45255,Random cascade (p=0.50),nq
random_cascade,0.55,9.819195999999998,0.44621500000000003,Random cascade (p=0.55),nq
random_cascade,0.6000000000000001,7.180575999999999,0.44535999999999987,Random cascade (p=0.60),nq
random_cascade,0.65,5.322974,0.44531,Random cascade (p=0.65),nq
random_cascade,0.7000000000000001,3.4789969999999997,0.44948499999999997,Random cascade (p=0.70),nq
random_cascade,0.75,2.4170260000000003,0.4534349999999999,Random cascade (p=0.75),nq
random_cascade,0.8,1.6441879999999998,0.45042,Random cascade (p=0.80),nq
random_cascade,0.8500000000000001,1.0272960000000002,0.4603999999999999,Random cascade (p=0.85),nq
random_cascade,0.9,0.6312849999999999,0.4636000000000001,Random cascade (p=0.90),nq
random_cascade,0.9500000000000001,0.4918540000000001,0.4687,Random cascade (p=0.95),nq
random_cascade,1.0,0.42000000000000004,0.4759999999999998,Random cascade (p=1.00),nq
oracle_cascade,,25.656740000000006,1.0,Oracle cascade (cheat),nq
