dataset,probe,qwen_acc,teacher_acc,cost_ratio,target_acc,min_cost_to_target,frac_escalated,saving_vs_always_teacher_pct
hotpotqa,DCP_mlp,0.33,0.454,21.581921312544083,0.434,14.812429640028213,0.64,31.3664922343185
hotpotqa,SEPs_logreg,0.33,0.454,21.581921312544083,0.434,15.028248853153654,0.65,30.366492234318503
hotpotqa,SEPs_ridge,0.33,0.454,21.581921312544083,0.434,14.164972000651892,0.61,34.3664922343185
nq,DCP_mlp,0.328,0.472,17.402853494808998,0.45199999999999996,12.833940376470117,0.68,26.253815902672034
nq,SEPs_logreg,0.328,0.472,17.402853494808998,0.45199999999999996,13.007968911418207,0.69,25.253815902672038
nq,SEPs_ridge,0.328,0.472,17.402853494808998,0.45199999999999996,12.31185477162585,0.65,29.25381590267202
