auc_positive_high,cohen_d,comparison,feature,negative_count,negative_mean,positive_count,positive_mean
0.7272877109704642,0.9580190570536656,stable_correct_vs_stable_hallucination,cluster_size,158,5.39873417721519,192,7.322916666666667
0.7249967035864979,0.9746743817264388,stable_correct_vs_stable_hallucination,cluster_weight_mass,158,0.6888486825124738,192,0.9232231944860804
0.41689741561181437,-0.2724749667766162,stable_correct_vs_stable_hallucination,delta_cluster_weight_mass_vs_sample0,158,0.07091965312868151,192,0.029491243548004187
0.4796940928270042,0.026764966907498473,stable_correct_vs_stable_hallucination,delta_fact_proxy_residual_vs_sample0,158,0.0009069585532939205,192,0.002113668535948935
0.47552412974683544,-0.06028060453300803,stable_correct_vs_stable_hallucination,delta_hidden_riemann_curvature_proxy_vs_sample0,158,0.0218740420983646,192,0.012729028865173605
0.5177676687763713,0.1264190358398603,stable_correct_vs_stable_hallucination,delta_qwen_factual_residual_vs_sample0,158,-0.04763352095253278,192,-0.012856027666809192
0.47100804324894513,-0.08484118038792135,stable_correct_vs_stable_hallucination,delta_riemann_curvature_proxy_vs_sample0,158,0.03514725648098887,192,0.01966532304348301
0.44302149261603374,-0.2510005092002454,stable_correct_vs_stable_hallucination,delta_wf_prob_min_mean_vs_sample0,158,0.038551853467448716,192,0.014000116213934696
0.3695938818565401,-0.5478205706680788,stable_correct_vs_stable_hallucination,distance_to_sample0_entropy_logprob,158,0.646142924634832,192,0.17186859851460168
0.45795424578059074,-0.04157285490924247,stable_correct_vs_stable_hallucination,fact_answer_specificity,158,0.34549050632911377,192,0.3394531249999999
0.5337717563291139,0.07969238487135455,stable_correct_vs_stable_hallucination,fact_consensus_overlap,158,0.860190344354481,192,0.8771334729256486
0.46622824367088606,-0.07969238487135447,stable_correct_vs_stable_hallucination,fact_internal_dispersion_proxy,158,0.1398096556455189,192,0.12286652707435138
0.49376977848101267,-0.10327247359593517,stable_correct_vs_stable_hallucination,fact_numeric_alignment,158,0.9873417721518988,192,0.9739583333333334
0.5066917194092827,0.015405570560848469,stable_correct_vs_stable_hallucination,fact_proxy_residual,158,0.38335762787325306,192,0.3859186740982658
0.5040875527426161,0.0191118280199382,stable_correct_vs_stable_hallucination,fact_question_entity_coverage,158,0.4641350210970464,192,0.4713541666666667
0.511389108649789,0.050957602681226524,stable_correct_vs_stable_hallucination,fact_unsupported_entity_density_proxy,158,0.6558468957203135,192,0.6711970899470902
0.27434401371308015,-0.9350466397760507,stable_correct_vs_stable_hallucination,fragmentation_entropy,158,0.7224742546481643,192,0.19753091408985093
0.45446004746835444,-0.18199510948380843,stable_correct_vs_stable_hallucination,hidden_riemann_anisotropy,158,0.32938467440587726,192,0.2568172824162503
0.4910667194092827,0.007588559439936197,stable_correct_vs_stable_hallucination,hidden_riemann_curvature_proxy,158,0.18928225323546968,192,0.19175955710650835
0.46672270569620256,-0.07515774326520178,stable_correct_vs_stable_hallucination,hidden_riemann_effective_dim,158,0.7301286598061356,192,0.6474535191115688
0.48711102320675104,-0.05480435116665722,stable_correct_vs_stable_hallucination,hidden_riemann_geodesic_distortion,158,0.4073143988635101,192,0.37771139754346855
0.44875725210970463,-0.2739973790727148,stable_correct_vs_stable_hallucination,hidden_riemann_knn_density,158,0.2023206751054852,192,0.13684275793650788
0.4551358122362869,-0.18810777779151353,stable_correct_vs_stable_hallucination,hidden_riemann_local_radius,158,16.433580040033572,192,11.90272653716689
0.396064082278481,-0.2582719414436903,stable_correct_vs_stable_hallucination,qwen_contradiction_risk,158,0.2653266023365557,192,0.1929396090595219
0.3762196729957806,-0.3500654470704293,stable_correct_vs_stable_hallucination,qwen_factual_residual,158,0.6386377964505945,192,0.4572566875363198
0.39817378691983124,-0.39119561499010763,stable_correct_vs_stable_hallucination,qwen_missing_constraint_risk,158,0.6460912773692156,192,0.5368001146707684
0.6775777953586498,0.2918858147957602,stable_correct_vs_stable_hallucination,qwen_supported_score,158,0.8170711434022911,192,0.9076131743288253
0.6157370780590717,0.44178702141814413,stable_correct_vs_stable_hallucination,riemann_anisotropy,158,0.6200543980672614,192,0.794891968095866
