probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,8,cv_5fold,1000,0.566,0.6133591701812379,0.38308594130044377,0.672,0.648,0.6146666666666667,,
SEPs_ridge,8,cross_seed,1000,0.566,0.7519825438439367,0.29399190823552357,0.74,0.744,0.6986666666666667,,
SEPs_logreg,8,cv_5fold,1000,0.566,0.5967090586377033,0.35247997708159906,0.72,0.632,0.604,0.37851766716740787,0.36664401587241646
SEPs_logreg,8,cross_seed,1000,0.566,0.9505788865187018,0.14274111441032325,0.968,0.958,0.736,0.05539438509357093,0.05158740540414816
DCP_mlp,8,cv_5fold,1000,0.566,0.6456416602888734,0.3414485141983603,0.712,0.672,0.6266666666666667,0.3388452055426711,0.32537390568467306
DCP_mlp,8,cross_seed,1000,0.566,0.9481811076191563,0.13792157726119778,0.976,0.948,0.7346666666666667,0.05600172789339884,0.055952305372850036
ARD_ridge,8,cv_5fold,1000,0.566,0.6052254482096041,0.3691925768795668,0.66,0.638,0.6226666666666667,0.23889362955320997,0.05402524827261214
ARD_ridge,8,cross_seed,1000,0.566,0.923702593997818,0.15392166223125342,0.976,0.954,0.712,0.08878980113976616,0.047256402739758105
ARD_mlp,8,cv_5fold,1000,0.566,0.6394945530930941,0.3394736063076011,0.704,0.664,0.624,0.23123353194991036,0.04912248415052551
ARD_mlp,8,cross_seed,1000,0.566,0.919147221181873,0.15011490897224786,0.96,0.954,0.7106666666666667,0.08872462494729642,0.05383074123598572
SEPs_ridge,16,cv_5fold,1000,0.566,0.6592792822132842,0.3382980405076609,0.676,0.684,0.6293333333333333,,
SEPs_ridge,16,cross_seed,1000,0.566,0.7586222338017619,0.27552825811551124,0.72,0.77,0.6986666666666667,,
SEPs_logreg,16,cv_5fold,1000,0.566,0.682646431421081,0.29380381498065267,0.768,0.712,0.6306666666666667,0.3082287838502752,0.28791692496843846
SEPs_logreg,16,cross_seed,1000,0.566,0.9551586849261533,0.1446683753013434,0.964,0.956,0.7373333333333333,0.05556993446354664,0.053395947100252174
DCP_mlp,16,cv_5fold,1000,0.566,0.7220286267932455,0.2727398179528318,0.76,0.738,0.648,0.29760084847374196,0.2876036908403137
DCP_mlp,16,cross_seed,1000,0.566,0.9510673983488299,0.13918974186194472,0.964,0.95,0.7386666666666667,0.05599697947446335,0.055944910285311567
ARD_ridge,16,cv_5fold,1000,0.566,0.6668512155802706,0.32954227473824416,0.728,0.71,0.6253333333333333,0.22590058276470795,0.04573295666483844
ARD_ridge,16,cross_seed,1000,0.566,0.9242562407386299,0.15344965858605172,0.976,0.954,0.712,0.0887781557117176,0.04603940578099476
ARD_mlp,16,cv_5fold,1000,0.566,0.7093761703929263,0.2864984574457524,0.776,0.728,0.6346666666666667,0.2136201952027198,0.05901161997677854
ARD_mlp,16,cross_seed,1000,0.566,0.9221108596179838,0.15265436764475815,0.968,0.95,0.712,0.08814150904715747,0.05090658341193946
SEPs_ridge,24,cv_5fold,1000,0.566,0.7086515445115696,0.293482549210194,0.816,0.71,0.6413333333333333,,
SEPs_ridge,24,cross_seed,1000,0.566,0.7733060852290307,0.2562642479328241,0.812,0.752,0.6986666666666667,,
SEPs_logreg,24,cv_5fold,1000,0.566,0.7351695950236927,0.25832268193881536,0.828,0.742,0.644,0.26870745221552417,0.24685289309924646
SEPs_logreg,24,cross_seed,1000,0.566,0.9596489228314145,0.14110834859425964,0.968,0.96,0.7386666666666667,0.055588146104570205,0.05381681804596282
