regime,probe_a,probe_b,mean_diff,ci_low,ci_high,p_value
cv_5fold,DCP_mlp@L64,SEPs_ridge@L72,0.0610735083781993,0.026175363266187395,0.0974597900407615,0.0
cv_5fold,DCP_mlp@L64,SEPs_logreg@L64,0.004841426448786538,-0.0091193607309453,0.01838276952528728,0.495
cv_5fold,DCP_mlp@L64,ARD_ridge@L72,0.004002504149727716,-0.01665102139009051,0.025594318185021392,0.713
cv_5fold,DCP_mlp@L64,ARD_mlp@L56,-0.0029331274058247503,-0.025941773803864122,0.021527506103256266,0.815
cross_seed,DCP_mlp@L32,SEPs_ridge@L72,0.1565204426649492,0.11824584312380029,0.196949650883668,0.0
cross_seed,DCP_mlp@L32,SEPs_logreg@L64,-0.004349063152129484,-0.012275077819424718,0.003385235688271157,0.271
cross_seed,DCP_mlp@L32,ARD_ridge@L40,0.03341755582109308,0.01706629993956172,0.052093901025832855,0.0
cross_seed,DCP_mlp@L32,ARD_mlp@L72,0.031051085336544396,0.014522284704650135,0.04958747618227838,0.0
