ood,probe_a,probe_b,mean_diff,ci_low,ci_high,p_value
nq,DCP_mlp@L64,SEPs_ridge@L48,0.05761689708598794,0.0025446049599806182,0.11325809174344904,0.046
nq,DCP_mlp@L64,SEPs_logreg@L56,-0.04663885835292413,-0.07593161645991554,-0.015676882792362803,0.004
