ood,probe,layer,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
nq,SEPs_ridge,4,500,0.47600001096725464,0.4920937840785169,0.5240678135108219,0.4480000138282776,0.47200000286102295,0.47733333706855774,,
nq,SEPs_logreg,4,500,0.47600001096725464,0.513535185066393,0.5194728333962633,0.47200000286102295,0.5120000243186951,0.46666666865348816,0.5252441906853611,0.5269396655398918
nq,DCP_mlp,4,500,0.47600001096725464,0.5599701712746168,0.47097590419100466,0.5440000295639038,0.5320000052452087,0.4959999918937683,0.47671154141426086,0.47455202894657855
nq,SEPs_ridge,8,500,0.47600001096725464,0.5269901853871319,0.5104067747056165,0.47999998927116394,0.5040000081062317,0.4906666576862335,,
nq,SEPs_logreg,8,500,0.47600001096725464,0.5478061453589069,0.4785342457033793,0.5440000295639038,0.4959999918937683,0.4959999918937683,0.4231514548483261,0.4072025281660406
nq,DCP_mlp,8,500,0.47600001096725464,0.5616219770350889,0.4674574895895171,0.5600000023841858,0.5199999809265137,0.5040000081062317,0.438086599111557,0.42503367117606106
nq,SEPs_ridge,12,500,0.47600001096725464,0.5378953107960741,0.5006146948342057,0.5120000243186951,0.5,0.4933333396911621,,
nq,SEPs_logreg,12,500,0.47600001096725464,0.6039835781640901,0.4562454426918003,0.6000000238418579,0.5559999942779541,0.5173333287239075,0.3658242798145045,0.34162341069523455
nq,DCP_mlp,12,500,0.47600001096725464,0.5929661941112323,0.4648451071573407,0.5680000185966492,0.5440000295639038,0.5093333125114441,0.39673760533332825,0.38912908294983206
nq,SEPs_ridge,16,500,0.47600001096725464,0.45573802039899924,0.5705784725973374,0.3840000033378601,0.4480000138282776,0.47200000286102295,,
nq,SEPs_logreg,16,500,0.47600001096725464,0.5552312528064661,0.4801577499345174,0.5360000133514404,0.5080000162124634,0.5040000081062317,0.41542657755611995,0.4028562584773946
nq,DCP_mlp,16,500,0.47600001096725464,0.5835204310731926,0.4596350602622571,0.5519999861717224,0.5,0.5226666927337646,0.3977891206741333,0.38118510993104426
nq,SEPs_ridge,20,500,0.47600001096725464,0.4976906793251651,0.5386974611108248,0.46399998664855957,0.46000000834465027,0.4906666576862335,,
nq,SEPs_logreg,20,500,0.47600001096725464,0.5866315992045673,0.4691778563746961,0.5440000295639038,0.5519999861717224,0.5146666765213013,0.3858655414161184,0.3783256243027501
nq,DCP_mlp,20,500,0.47600001096725464,0.5832878953107961,0.47093304363260674,0.5199999809265137,0.527999997138977,0.5173333287239075,0.41337525844573975,0.40275928654335436
nq,SEPs_ridge,24,500,0.47600001096725464,0.5140644043877093,0.518381075408574,0.4959999918937683,0.4880000054836273,0.47200000286102295,,
nq,SEPs_logreg,24,500,0.47600001096725464,0.5776027968439285,0.4761843672987668,0.527999997138977,0.5360000133514404,0.5013333559036255,0.39733930984461596,0.38300735962052757
nq,DCP_mlp,24,500,0.47600001096725464,0.6126595676438513,0.4466912116189079,0.5680000185966492,0.5600000023841858,0.527999997138977,0.3842104375362396,0.37739613315183673
nq,SEPs_ridge,27,500,0.47600001096725464,0.5154435820129579,0.496353492241853,0.47200000286102295,0.4880000054836273,0.47733333706855774,,
nq,SEPs_logreg,27,500,0.47600001096725464,0.5828789531079608,0.46746148635919044,0.5600000023841858,0.5360000133514404,0.5226666927337646,0.38083375889246407,0.35780737882630864
nq,DCP_mlp,27,500,0.47600001096725464,0.5702258002437617,0.48329822213890805,0.527999997138977,0.5400000214576721,0.4959999918937683,0.40933603048324585,0.39861803068686275
nq,SEPs_ridge,28,500,0.47600001096725464,0.4935852203476811,0.5163664095602675,0.4959999918937683,0.46399998664855957,0.46399998664855957,,
nq,SEPs_logreg,28,500,0.47600001096725464,0.5832478029379691,0.46765398782235534,0.5199999809265137,0.5479999780654907,0.5226666927337646,0.38104107181547703,0.3616676660325938
nq,DCP_mlp,28,500,0.47600001096725464,0.5863349156456477,0.4683463538991061,0.5360000133514404,0.5440000295639038,0.5226666927337646,0.4003566801548004,0.3917024638056755
