ood,probe_a,probe_b,mean_diff,ci_low,ci_high,p_value
nq,DCP_mlp@L24,SEPs_ridge@L12,0.07419523846707023,0.0045226337106474696,0.14067126277971229,0.037
nq,DCP_mlp@L24,SEPs_logreg@L12,0.008148954530496806,-0.041779820308918476,0.05991445023340061,0.76
