regime,probe_a,probe_b,mean_diff,ci_low,ci_high,p_value
cv_5fold,DCP_mlp@L28,SEPs_ridge@L27,0.05164389675812975,0.014654887682870219,0.0898511437299991,0.009
cv_5fold,DCP_mlp@L28,SEPs_logreg@L27,-0.008334627153763142,-0.030118158307249447,0.012606425576573838,0.429
cv_5fold,DCP_mlp@L28,ARD_ridge@L27,-0.0024768859962429773,-0.029620668418569918,0.024813091415530338,0.846
cv_5fold,DCP_mlp@L28,ARD_mlp@L28,0.000992789818181983,-0.02417655492640326,0.02532246199575511,0.94
cross_seed,DCP_mlp@L27,SEPs_ridge@L27,0.1549665314664274,0.11744225744781102,0.19485928106774558,0.0
cross_seed,DCP_mlp@L27,SEPs_logreg@L16,-0.004147657957704568,-0.011252882401453168,0.002679339598710317,0.242
cross_seed,DCP_mlp@L27,ARD_ridge@L4,0.03182149249162061,0.014480297078712687,0.05029813218343775,0.0
cross_seed,DCP_mlp@L27,ARD_mlp@L24,0.03311034463182419,0.015863701014610793,0.052234207033114856,0.0
